Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CPM,CPL,CPA,CTR,CPC,Conversion_Rate_Lead,Conversion_Rate_Sale,Pct_Spent_per_Conversion,Pct_Conversion_per_Click,Approved_Conversion_Rate,Pct_Approved_Conversion,xyz_campaign_id_916,xyz_campaign_id_936,xyz_campaign_id_1178,age_30-34,age_35-39,age_40-44,age_45-49,gender_F,gender_M,interest_2,interest_7,interest_10,interest_15,interest_16,interest_18,interest_19,interest_20,interest_21,interest_22,interest_23,interest_24,interest_25,interest_26,interest_27,interest_28,interest_29,interest_30,interest_31,interest_32,interest_36,interest_63,interest_64,interest_65,interest_66,interest_100,interest_101,interest_102,interest_103,interest_104,interest_105,interest_106,interest_107,interest_108,interest_109,interest_110,interest_111,interest_112,interest_113,interest_114
7350,1,1.429999948,2,1,0.19455781605442177,0.714999974,1.429999948,0.013605442176870748,1.429999948,0.027210884353741496,0.013605442176870748,0.714999974,2.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17861,2,1.820000023,2,0,0.10189799132187448,0.9100000115,0.0,0.011197581322434353,0.9100000115,0.011197581322434353,0.0,0.9100000115,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.1443001443001443,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4259,1,1.25,1,0,0.29349612585113877,1.25,0.0,0.023479690068091103,1.25,0.023479690068091103,0.0,1.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4133,1,1.289999962,1,1,0.31212193612388095,1.289999962,1.289999962,0.024195499637067505,1.289999962,0.024195499637067505,0.024195499637067505,1.289999962,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.05221932114882506,0.05221932114882506,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15615,3,4.769999981,1,0,0.30547550310598787,4.769999981,0.0,0.01921229586935639,1.5899999936666667,0.006404098623118796,0.0,4.769999981,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10951,1,1.269999981,1,1,0.11597114245274404,1.269999981,1.269999981,0.009131586156515388,1.269999981,0.009131586156515388,0.009131586156515388,1.269999981,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355,1,1.5,1,0,0.6369426751592356,1.5,0.0,0.042462845010615716,1.5,0.042462845010615716,0.0,1.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9502,3,3.159999967,1,0,0.3325615625131551,3.159999967,0.0,0.03157230056830141,1.0533333223333334,0.010524100189433803,0.0,3.159999967,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
